Name,Location,Company,Description
IT Business Development Consultant,"Delhi, Delhi",Knowru Limited,"Job SummaryKnowru LimitedAre you looking for an opportunity to work internationally and cross-functionally for a growing IT start-up company? Apply for Knowru’s VP of Business Development role - the company sells software products that are enhanced by AI and Machine Learning to institutional clients. It is a perfect opportunity for you if:You are interested in the AI and Machine Learning spaceYou want to work for a start-up but at the same time wish the company is stable (we are well funded by a Hong Kong PE company owned by one of the top 30 richest in the world)You want to work in a flat structure organization without hierarchyYou want to and are good at selling software products to businesses.Responsibilities and DutiesResponsibilitiesDevelop business opportunities to sell the company’s IT software products by finding potential clients or channels through which Knowru Limited can maximize its salesUtilize and manage sales teams and/or outsourced sales representatives in other countries to maximize the company’s covered regions and industries in a short period of timeSet and improve sales representatives Standards of Procedures (SOP) based on data and strategies to meet the company’s sales goalsTrain sales representatives on new and updated SOPsConduct marketing campaigns in appropriate channels, measure effectiveness of the campaigns and improve the effectivenessThis position is temporary lasting 3 to 6 months. This position requires 40 hours of work a week.Required Experience and QualificationsRequirementsCitizen of { the country } with no limitation to work in { the country } and travel internationallyWill have to travel (domestically and internationally) if needed (20-40% of time)Bachelor’s degree or above in IT (computer science, engineering) or sales (communication, business, economics, marketing)Excellent communication skills in English3 years or more of work experiences in IT-related fields3 years or more of work experiences related to business development or sales specialtiesData-driven and critical thinking abilitiesSincere and professional work attitude and mannerBenefitsBenefitsCan work from home if the employee chooses to do soCompetitive basis salaryCompetitive bonus salary based on sales performancesJob Types: Full-time, ContractSalary: ₹70,000.00 to ₹150,000.00 /monthExperience:IT: 2 years (Preferred)BD or Sales: 2 years (Required)Education:Diploma (Preferred)Location:Delhi, Delhi (Required)Industry:Software Development"
Name,Location,Company,Description
Python/Django Developer,"Safdarjung Enclave, Delhi, Delhi",Timble Technologies Pvt. Ltd.,"Job SummaryJob Description: We are looking for a Multi-skilled programmer to join our product engineering team responsible for developing core solutions within the Indigene product portfolio.You should be able to switch between programming languages if needed primarily Python, Node JS, etc.Should have hands-on with databases such as MySQL, MongoDB and having knowledge of front-end technologies such as Angular, Knockouts and client-side JavaScript is added advantage.Should have a working knowledge of any of web scripting languages such as JSP, PHP, and ASP, etc.Should have a working knowledge of any web servers such as Nginx, Apache, Tomcat, IIS, etc.Should have a working knowledge of Docker, Virtual Machines, AWS EC2, Git, SVNResponsibilities and DutiesResponsibilities and DutiesKey skills: Expert in Python, with knowledge of at least one Python web frameworkExpert in Python, with knowledge of at least one Python web framework {{such as Django, Flask}Familiarity with some ORM (Object Relational Mapper) librariesAble to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architectureGood understanding of server-side templating languagesUnderstanding of accessibility and security complianceKnowledge of user authentication and authorization between multiple systems, servers, and environmentsUnderstanding of fundamental design principles behind a scalable applicationFamiliarity with event-driven programming in PythonUnderstanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platformAble to create database schemas that represent and support business processesStrong unit test and debugging skillsProficient understanding of code versioning tools {{such as Git, Mercurial or SVN}}Required Experience, Skills and QualificationsRequired Experience, Skills and QualificationsDesired SkillsStrong experience working databases specially MySQL and SQL.Good hands-on experience in Python.Understanding of design principles for secure and scalable applications.Good understanding of Python Web frameworks such as Django, Flask, etcProficient in code versioning tools such as Git and SVN.BenefitsBenefitsOn-time SalariesFriendly and Learning EnvironmentNo Dress CodeExp- 2 yearsJob Type: Full-timeSalary: ₹15,000.00 to ₹40,000.00 /monthExperience:work: 2 years (Preferred)total work: 2 years (Preferred)Python: 2 years (Preferred)Education:Bachelor's (Preferred)Industry:Software Development"
Name,Location,Company,Description
Artificial Intelligence Engineer (AI Engineer),"Safdarjung Enclave, Delhi, Delhi",Timble Technologies Pvt. Ltd.,"Job SummaryDo you want to shape the digitalization in the world of finance? Then join our Chapter Artificial Intelligence and Automation at Siemens Financial Services. Using Big Data and Artificial Intelligence we develop visions and solutions for the future of tomorrow. For these developments we need creative pioneers to kick-off innovative projects and identify first of its kind solutions.Responsibilities and DutiesIn your new role you will be part of an interdisciplinary team and support the development and operation of innovative Data Services based on Machine Learning and Artificial IntelligenceYou support the Automation and Orchestration of workflows across various cloud servicesYou enjoy working in agile DevOps environments to support our partners across various platformsYou develop toolsets, work instructions and processes in the area of Artificial Intelligence and AutomationYou keep your self up-to-date on cutting-edge technologies (i.e. by participating in expert conferences) and actively share knowledge and best-practices with the teamRequired Experience, Skills and QualificationsBachelors Degree in related field, advanced degree preferred2-3 years of Professional experience, preferably in Financial Services (either on IT or business side)Proficient in at least one of the following programming languages: Python, R, Java, JavaScript, C/C++Basic knowledge or practical experience with OS-level virtualization (e.g. Docker) and container orchestration (e.g. Kubernetes)BenefitsYou will be working in a multi-cultural environment.Competitive SalaryFriendly environmentNo Dress code6 days workingJob Types: Full-time, Walk-In.About Timble Technologies Pvt Ltd.Timble technologies Pvt Ltd is a IT firm founded by two IIT Delhi alumni.Researching and prototyping since September 2013.Team of 50+ IT Professional.Our Company provide Services to Paper Less Attendance System, Cyber Security and App Development.Timble Technologies Pvt Ltd.011- 41704731Job Type: Full-timeSalary: ₹30,000.00 to ₹40,000.00 /monthExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Education:Higher Secondary(12th Pass) (Preferred)Industry:Software Development"
Name,Location,Company,Description
Machine Learning Engineer,"Delhi, Delhi",Tradeindia.com,"Tradeindia is looking for Machine Learning Engineers to join its engineering team.

Responsibilities:
Collaborative filtering/recommendation.
User journey prediction.
Search ranking.
Text/ sentiment classification or spam detection.
Predictive analytics.

Requirements:
Qualification: M.tech, B.tech, M.C.A.
The ideal candidate will have industry experience working on a recommendation engine, a range of classification and optimization problems e.g.
The position will involve taking Algorithm and Programming skills and applying them to some of the most exciting and massive SMEs user data.
Candidates with relevant experience."
Name,Location,Company,Description
Machine Learning Engineer,"Delhi, Delhi",Cars24,"We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products like product recommendation, computer vision and NLP.If you also have knowledge of data science software engineering, statistics and want to build interesting applications from scratch we would like to meet you.

Responsibilities:
Study and transform data science prototypes.
Design machine learning systems.
Research and implement appropriate ML algorithms.
Develop machine learning applications after thorough research.
Select appropriate datasets and data representation methods.
Run machine learning tests and experiments.
Perform statistical analysis and fine-tuning using test results.
Train and retrain systems when necessary.
Work with devops team to create machine learning pipelines.
Extend existing ML libraries and frameworks.
Keep abreast of developments in the field.

Requirements:
Proven experience as a Machine Learning Engineer or similar role.
Strong programming skills, ideally with Java or Python.
Experience working with Machine Learning Libraries like Keras, Tensor Flow, DL4J.
Experience with large-scale analytics paradigms (Map Reduce, Spark, NoSQL, etc).
Understanding of data structures, data modeling and software architecture.
Deep knowledge of math, probability, statistics and algorithms.
Excellent communication skills.
Ability to work in a team.
Experience with Sage Maker or similar system is a plus.
BE in Computer Science, Mathematics or similar field from a Tier-1 college/University; Master's degree is a plus."
Name,Location,Company,Description
"Python with Machine Learning (DL, AI, ML)","Saket, Delhi",Omnicert Technologies Pvt. Ltd.,"Job SummaryNeed Experienced Trainer having experience in Python, ML, DL, AIResponsibilities and Dutiesonly TrainingRequired Experience, Skills and Qualificationsevery thingJob Types: Full-time, Part-timeSalary: ₹15,000.00 to ₹30,000.00 /monthExperience:Machine Learning: 1 year (Preferred)work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Industry:Education & Instruction"
Name,Location,Company,Description
Python & Machine Learning Trainer,"Saket, Delhi, Delhi",Madrid Solutions,"Job SummaryDear CandidatesWe are hiring for Machine Learning and Python Trainer- Must have Knowledge of Machine Learning & Python- Must have Training Skills- Must have ability to take Doubt Sessions- Must be able to prepare of their content- Must have good communication skills Know about us-**Madrid software training is a Delhi based training center providing numerous courses to students to tune up their skills in accordance to demand of market. The institute was established in May 2011 by Ex Cognizant Employees.https://www.madridsoftwaretrainings.com/aboutus.phpWorking Location- SaketRegardsHR ManagerMadrid Software Training SolutionsJob Type: Full-timeSalary: ₹20,000.00 to ₹45,000.00 /monthExperience:Machine Learning: 1 year (Preferred)work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Industry:Education & Instruction"
Name,Location,Company,Description
